t,u_x,u_y,u_z,f_x,f_y,f_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.08,0.0,1.2780998048106396e-12,0.34582376734643017,2.0532905887701847e-12
0.08,0.0,0.16,0.0,-7.41594285980085e-17,0.5847167110961272,6.613633252161577e-17
0.12,0.0,0.24000000000000007,0.0,-1.5308934675495323e-16,0.7766421314081151,-5.702903427273753e-17
0.16,0.0,0.32,0.0,-5.5077470362263625e-17,0.9381602824545577,6.331740687315346e-17
0.2,0.0,0.4,0.0,-6.895525817007808e-17,1.078633893339928,5.551115123125783e-17
0.24,0.0,0.48000000000000015,0.0,1.6046192152785466e-17,1.2042043980078605,-9.974659986866641e-18
0.28,0.0,0.5599999999999998,0.0,8.803721640582296e-17,1.3191990071541904,5.854691731421724e-17
0.32,0.0,0.64,0.0,-1.6263032587282567e-16,1.4268049825766203,1.2663481374630692e-16
0.36,0.0,0.7200000000000001,0.0,3.183217578417441e-16,1.5294453479125494,1.1232334506949826e-16
0.4,0.0,0.8,0.0,1.700029006457271e-16,1.629008045136975,1.5439038936193583e-16
0.44,0.0,0.8800000000000002,0.0,1.8127860323957634e-16,1.7269945616409401,1.960237527853792e-16
0.48,0.0,0.9600000000000003,0.0,1.734723475976807e-17,1.8246205827717743,4.2587461335230614e-16
0.52,0.0,1.0399999999999996,0.0,-1.2654807757250808e-15,1.9228861819009584,-7.485331798839923e-16
0.56,0.0,1.1200000000000006,0.0,4.2240516640035253e-16,2.022625729761682,-4.2674197509029455e-16
0.6,0.0,1.1999999999999997,0.0,-4.77048955893622e-16,2.1245436129958715,-6.505213034913027e-17
0.64,0.0,1.28,0.0,-5.785302792382652e-16,2.2292395095573476,-8.543513119185775e-16
0.68,0.0,1.3599999999999999,0.0,-5.898059818321144e-17,2.33722521185754,-1.7867651802561113e-16
0.72,0.0,1.4400000000000002,0.0,1.250735626179278e-15,2.4489343768209904,-3.5908775952719907e-16
0.76,0.0,1.5199999999999998,0.0,1.214306433183765e-16,2.5647266684911454,3.7990444123892075e-16
0.8,0.0,1.6,0.0,-8.482797797526587e-16,2.6848883020750267,-7.147060721024445e-16
0.84,0.0,1.68,0.0,-8.72565908416334e-16,2.8096313613759296,1.3010426069826053e-16
0.88,0.0,1.7600000000000005,0.0,-8.864436962241484e-16,2.9390940540374624,-4.49293380277993e-16
0.92,0.0,1.84,0.0,-2.2325891135821507e-15,3.0733433153088763,-3.382710778154774e-16
0.96,0.0,1.9200000000000006,0.0,4.0592529337857286e-16,3.2123802065734646,-1.2472661792273243e-15
1.0,0.0,2.0,0.0,1.0061396160665481e-16,3.356147748206409,3.903127820947816e-16
