t,u_x,u_y,u_z,f_x,f_y,f_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.004999999999999999,0.0,-5.008436151644492e-05,0.0010107481689806007,1.6939219836108622e-13
0.02,0.0,0.009999999999999998,0.0,-9.930737670283797e-05,0.002014354080897236,2.337810934421869e-18
0.03,0.0,0.015,0.0,-0.00014770120853620816,0.003010781084121254,-1.0842021724855044e-19
0.04,0.0,0.019999999999999997,0.0,-0.000195295963545382,0.004000003362762832,-1.111307226797642e-18
0.05,0.0,0.024999999999999994,0.0,-0.0002421197251690221,0.004982005298134458,3.2526065174565133e-19
0.06,0.0,0.03,0.0,-0.00028819872979435877,0.005956780702929339,9.366829143916955e-17
0.07,0.0,0.034999999999999996,0.0,-0.00033355745142194914,0.006924332170185236,-2.024069930758876e-17
0.08,0.0,0.039999999999999994,0.0,-0.0003782188007860283,0.007884670327386297,-4.212125440106185e-17
0.09,0.0,0.04499999999999999,0.0,-0.0004222041928361453,0.008837813251808602,1.4034997122824855e-16
0.1,0.0,0.04999999999999999,0.0,-0.00046553366960070465,0.009783785851320725,1.8350121769317163e-17
0.11,0.0,0.055,0.0,-0.0005082260030354744,0.010722619291325036,-1.4772254600114998e-17
0.12,0.0,0.06,0.0,-0.0005502987909288674,0.011654350453660409,-1.2305694657710475e-17
0.13,0.0,0.065,0.0,-0.0005917685461505691,0.012579021427043379,1.4257258568184383e-17
0.14,0.0,0.07000000000000003,0.0,-0.000632650779601197,0.013496679028145114,-4.363913744254155e-18
0.15,0.0,0.075,0.0,-0.0006729600771685018,0.014407374352488081,7.906544342850541e-17
0.16,0.0,0.07999999999999999,0.0,-0.0007127101710527282,0.015311162354073702,-8.191147413127986e-17
0.17,0.0,0.08500000000000002,0.0,-0.0007519140057813734,0.016208101452574765,-1.8062808193608504e-16
0.18,0.0,0.08999999999999998,0.0,-0.0007905837992597663,0.017098253166977273,7.939070408025106e-17
0.19,0.0,0.09500000000000001,0.0,-0.0008287310991672119,0.017981681774268107,5.206880933361635e-17
0.2,0.0,0.09999999999999998,0.0,-0.0008663668350202116,0.018858453992085997,-7.966175462337244e-17
0.21,0.0,0.10500000000000002,0.0,-0.000903501366196432,0.019728638683914605,-5.0876186943882296e-17
0.22,0.0,0.11,0.0,-0.000940144526202533,0.020592306585741862,-1.4582519219930035e-17
0.23,0.0,0.11500000000000002,0.0,-0.0009763056634663691,0.021449530052715382,-1.471533398605951e-16
0.24,0.0,0.12,0.0,-0.001011993678893266,0.022300382824892037,-1.1557595158695477e-16
0.25,0.0,0.125,0.0,-0.0010472170604379455,0.023144939810695153,5.149960319306146e-17
0.26,0.0,0.13,0.0,-0.0010819839149138603,0.023983276887078877,2.539472538504173e-16
0.27,0.0,0.135,0.0,-0.0011163019972520664,0.02481547071533015,-9.128982292327947e-17
0.28,0.0,0.14000000000000007,0.0,-0.0011501787373962265,0.025641598571501972,-7.882149793969617e-17
0.29,0.0,0.145,0.0,-0.0011836212650319547,0.026461738190424692,-1.354168513434395e-16
0.3,0.0,0.15,0.0,-0.0012166364323097363,0.02727596762253002,1.0636023312082798e-16
0.31,0.0,0.15499999999999997,0.0,-0.001249230834717477,0.028084365102540785,4.5211230592645535e-17
0.32,0.0,0.15999999999999998,0.0,-0.0012814108302593734,0.028887008929157756,-1.3660947373317356e-17
0.33,0.0,0.165,0.0,-0.0013131825570617587,0.02968397735512261,8.890457814381136e-18
0.34,0.0,0.17000000000000004,0.0,-0.0013445519495435161,0.030475348486801664,1.0299920638612292e-17
0.35000000000000003,0.0,0.17500000000000004,0.0,-0.001375524753258077,0.0312612001926795,-1.4690939437178585e-17
0.36,0.0,0.17999999999999997,0.0,-0.0014061065385146969,0.03204161002014127,-8.109832250191573e-17
0.37,0.0,0.18499999999999997,0.0,-0.0014363027128798766,0.03281665511989229,-7.074419175467916e-17
0.38,0.0,0.19000000000000003,0.0,-0.0014661185326475257,0.03358641217750854,-2.3906657903305373e-17
0.39,0.0,0.19500000000000003,0.0,-0.0014955591133585266,0.03435095735158924,-5.919743861770854e-17
0.4,0.0,0.19999999999999996,0.0,-0.0015246294394514403,0.0351103662180282,6.315477654728063e-17
0.41000000000000003,0.0,0.20499999999999996,0.0,-0.001553334373111856,0.035864713719943916,-6.548581121812447e-17
0.42,0.0,0.21000000000000005,0.0,-0.0015816786623821751,0.03661407412283202,-4.83554168928535e-17
0.43,0.0,0.215,0.0,-0.0016096669486000228,0.03735852097460929,-3.65376132127615e-17
0.44,0.0,0.22,0.0,-0.001637303773210296,0.03809812707009268,-1.610040226140974e-17
0.45,0.0,0.22500000000000012,0.0,-0.0016645935840116353,0.03883296441970282,-2.321276851291465e-16
0.46,0.0,0.23000000000000004,0.0,-0.0016915407408718758,0.0395631042218788,-2.5982905063615114e-16
0.47000000000000003,0.0,0.23499999999999996,0.0,-0.0017181495209701051,0.04028861683913668,-9.665662367708272e-17
0.48,0.0,0.24,0.0,-0.0017444241235879507,0.041009571777339354,9.492190020110591e-17
0.49,0.0,0.2450000000000001,0.0,-0.0017703686745007632,0.04172603766795543,-9.573505183047004e-17
0.5,0.0,0.25,0.0,-0.001795987229992514,0.04243808225313072,-8.185726402265558e-17
0.51,0.0,0.2549999999999999,0.0,-0.0018212837805347847,0.04314577237328681,-2.108773225484306e-17
0.52,0.0,0.26,0.0,-0.0018462622541406352,0.043849173957040806,-2.3689817468808272e-17
0.53,0.0,0.2650000000000001,0.0,-0.0018709265194422808,0.04454835201333657,-2.1250362580715887e-17
0.54,0.0,0.27,0.0,-0.0018952803884977436,0.04524337062548499,-1.6750923564901044e-16
0.55,0.0,0.2749999999999999,0.0,-0.0019193276193569878,0.045934292947087126,-9.345822726825048e-17
0.56,0.0,0.28000000000000014,0.0,-0.001943071918407813,0.046621181199570136,1.7726705520137997e-16
0.5700000000000001,0.0,0.2850000000000001,0.0,-0.0019665169425146746,0.0473040966712605,-8.803721640582296e-17
0.58,0.0,0.29,0.0,-0.001989666300973959,0.04798309971788,-6.808789643208968e-17
0.59,0.0,0.29500000000000004,0.0,-0.0020125235573000676,0.04865824976422573,6.25584653524136e-17
0.6,0.0,0.3,0.0,-0.0020350922308510063,0.0493296053071261,4.2609145378680324e-17
0.61,0.0,0.30500000000000005,0.0,-0.0020573757983164374,0.0499972239193242,-1.345494896054511e-16
0.62,0.0,0.30999999999999994,0.0,-0.0020793776950696462,0.05066116225443649,1.4148838350935833e-16
0.63,0.0,0.31500000000000006,0.0,-0.002101101316406168,0.051321476052664426,-6.516055056637882e-17
0.64,0.0,0.31999999999999995,0.0,-0.0021225500186692597,0.05197822014738464,-1.2696007439805257e-16
0.65,0.0,0.32500000000000007,0.0,-0.002143727120278215,0.052631448472367864,-1.723881454251952e-16
0.66,0.0,0.33,0.0,-0.002164635902665968,0.05328121406967334,5.605325231750058e-17
0.67,0.0,0.3350000000000001,0.0,-0.0021852796111335423,0.05392756909813331,-8.42425088021237e-17
0.68,0.0,0.3400000000000001,0.0,-0.0022056611583580405,0.054570563737657965,-6.623824752582941e-15
0.6900000000000001,0.0,0.3450000000000001,0.0,-0.002225784324274062,0.05521025062115371,-2.036836411339893e-14
0.7000000000000001,0.0,0.3500000000000001,0.0,-0.002245651938854716,0.055846678208775584,6.347721827337782e-14
0.71,0.0,0.3549999999999999,0.0,-0.0022652671149632673,0.0564798952151294,1.6306400674181987e-15
0.72,0.0,0.35999999999999993,0.0,-0.0022846329264747628,0.0571099495265309,-3.680074908002373e-14
0.73,0.0,0.36500000000000016,0.0,-0.002303752416111907,0.05773688820442914,-1.808340803488573e-15
0.74,0.0,0.36999999999999994,0.0,-0.002322628594799157,0.05836075749724706,3.185407666805862e-14
0.75,0.0,0.375,0.0,-0.0023412644416902937,0.05898160285190884,-3.3875896879309586e-15
0.76,0.0,0.38000000000000006,0.0,-0.002359662905355797,0.059599468925019154,-2.2009087261021243e-14
0.77,0.0,0.38499999999999984,0.0,-0.0023778269029678333,0.06021439959393252,5.4033383670160084e-15
0.78,0.0,0.39000000000000007,0.0,-0.0023957593218287506,0.060826437968750896,-3.952350599578658e-15
0.79,0.0,0.39500000000000013,0.0,-0.0024134630189261656,0.06143562640384462,-4.666991619550753e-14
0.8,0.0,0.3999999999999999,0.0,-0.002430940821450375,0.06204200650912461,3.3290427706167414e-14
0.81,0.0,0.4050000000000002,0.0,-0.002448195527012687,0.06264561916216975,1.4527224909133274e-15
0.8200000000000001,0.0,0.4099999999999999,0.0,-0.0024652299040762047,0.06324650451946479,-2.985675942590582e-15
0.8300000000000001,0.0,0.415,0.0,-0.0024820466916479554,0.06384470202847763,-2.995791548859872e-14
0.84,0.0,0.4200000000000001,0.0,-0.0024986486001941947,0.06444025043916801,-2.8337900602470878e-14
0.85,0.0,0.42499999999999977,0.0,-0.0025150383114427755,0.06503318781545922,1.3791051634015616e-16
0.86,0.0,0.43,0.0,-0.0025312184786819934,0.06562355154701434,-4.420845200331369e-14
0.87,0.0,0.435,0.0,-0.002547191726955532,0.06621137836058925,2.913522288011672e-14
0.88,0.0,0.44,0.0,-0.0025629606531124053,0.06679670433155446,-3.375012942730127e-14
0.89,0.0,0.44500000000000006,0.0,-0.0025785278262336385,0.0673795648950078,4.673345044281518e-15
0.9,0.0,0.45000000000000023,0.0,-0.002593895787691948,0.06795999485733942,4.8652596708331775e-14
0.91,0.0,0.4549999999999999,0.0,-0.00260906705109792,0.0685380284072444,-2.2648983383222188e-15
0.92,0.0,0.4600000000000001,0.0,-0.0026240441029317784,0.06911369912660746,5.6076020563122775e-15
0.93,0.0,0.4650000000000001,0.0,-0.00263882940226006,0.06968704000146483,5.186085935693363e-14
0.9400000000000001,0.0,0.4699999999999999,0.0,-0.002653425381153588,0.07025808343311687,4.8810348124428415e-14
0.9500000000000001,0.0,0.475,0.0,-0.0026678344446539656,0.0708268612481164,-2.6584203588475575e-14
0.96,0.0,0.48,0.0,-0.002682058971257378,0.07139340470967688,-2.459566838391991e-14
0.97,0.0,0.485,0.0,-0.0026961013126644067,0.07195774452715895,3.00713230358407e-14
0.98,0.0,0.4900000000000002,0.0,-0.002709963794315144,0.07251991086706491,1.7753918994667384e-14
0.99,0.0,0.49499999999999994,0.0,-0.002723648715261104,0.07307993336261147,-9.39211815959018e-15
1.0,0.0,0.5,0.0,-0.0027371583484463637,0.07363784112417074,9.049401852867511e-15
